S. No,participant_id,distribution_type,distribution_name,engagement_id,engagement_started_EDT,engagement_completed_EDT,engagement_participation_status,BrokerPanelId,Overquota_redirect_ARF_return_token,Q1_Location_in_BC,DQ_redirect_not_in_BC_return_token,Q1_Experience_with_AI,Q2_Experience_with_AI_animal,Q2_Experience_with_AI_animal_other_OE,Q2_Experience_with_AI_animal_other_OE_sentiment,Q2_Experience_with_AI_animal_other_OE_sentiment_percentage,Q3_AI_affecting_society_feeling,Q4A_Sector_AI_making_a_positive_impact_1,Q4A_Sector_AI_making_a_positive_impact_2,Q4A_Sector_AI_making_a_positive_impact_3,Q4A_Sector_AI_making_a_positive_impact_4,Q4A_Sector_AI_making_a_positive_impact_5,Q4A_Sector_AI_making_a_positive_impact_6,Q4A_Sector_AI_making_a_positive_impact_7,Q4A_Sector_AI_making_a_positive_impact_other_OE,Q4A_Sector_AI_making_a_positive_impact_other_OE_sentiment,Q4A_Sector_AI_making_a_positive_impact_other_OE_sentiment_percentage,Q4B_Sector_AI_making_a_negative_impact_1,Q4B_Sector_AI_making_a_negative_impact_2,Q4B_Sector_AI_making_a_negative_impact_3,Q4B_Sector_AI_making_a_negative_impact_4,Q4B_Sector_AI_making_a_negative_impact_5,Q4B_Sector_AI_making_a_negative_impact_6,Q4B_Sector_AI_making_a_negative_impact_7,Q4B_Sector_AI_making_a_negative_impact_other_OE,Q4B_Sector_AI_making_a_negative_impact_other_OE_sentiment,Q4B_Sector_AI_making_a_negative_impact_other_OE_sentiment_percentage,Q5_Art_vibe_AI,Q5_Art_vibe_AI_other_OE,Q5_Art_vibe_AI_other_OE_sentiment,Q5_Art_vibe_AI_other_OE_sentiment_percentage,Q6_AI_role_in_creative_fields_in_BC,Q7_AI_and_environment,Q8_AI_helping_BC_community,Q8_AI_helping_BC_community_video_OE_transcription,Q8_AI_helping_BC_community_video_OE_sentiment,Q8_AI_helping_BC_community_video_OE_sentiment_percentage,Q8_AI_helping_BC_community_text_OE,Q8_AI_helping_BC_community_text_OE_sentiment,Q8_AI_helping_BC_community_text_OE_sentiment_percentage,Q9_Jobs_in_BC_AI_Influence,Q10_AI_superpower_to_help_community,Q10_AI_superpower_to_help_community_other_OE,Q10_AI_superpower_to_help_community_other_OE_sentiment,Q10_AI_superpower_to_help_community_other_OE_sentiment_percentage,Q11_Gainer_advances_in_AI_1,Q11_Gainer_advances_in_AI_2,Q11_Gainer_advances_in_AI_3,Q11_Gainer_advances_in_AI_4,Q11_Gainer_advances_in_AI_5,Q11_Gainer_advances_in_AI_6,Q11_Gainer_advances_in_AI_other_OE,Q11_Gainer_advances_in_AI_other_OE_sentiment,Q11_Gainer_advances_in_AI_other_OE_sentiment_percentage,Q12_Most_trustworthy_advances_in_AI_1,Q12_Most_trustworthy_advances_in_AI_2,Q12_Most_trustworthy_advances_in_AI_3,Q12_Most_trustworthy_advances_in_AI_4,Q12_Most_trustworthy_advances_in_AI_5,Q12_Most_trustworthy_advances_in_AI_6,Q12_Most_trustworthy_advances_in_AI_7,Q12_Most_trustworthy_advances_in_AI_other_OE,Q12_Most_trustworthy_advances_in_AI_other_OE_sentiment,Q12_Most_trustworthy_advances_in_AI_other_OE_sentiment_percentage,Q13_AI_impact_worries,Q13_AI_impact_worries_videos_OE_transcription,Q13_AI_impact_worries_videos_OE_sentiment,Q13_AI_impact_worries_videos_OE_sentiment_percentage,Q13_AI_impact_worries_text_OE,Q13_AI_impact_worries_text_OE_sentiment,Q13_AI_impact_worries_text_OE_sentiment_percentage,Q14_Govt_role_in_managing_AI,Q15_Matters_most_BC_AI_future_1,Q15_Matters_most_BC_AI_future_2,Q15_Matters_most_BC_AI_future_3,Q15_Matters_most_BC_AI_future_4,Q15_Matters_most_BC_AI_future_5,Q15_Matters_most_BC_AI_future_6,Q15_Matters_most_BC_AI_future_7,Q15_Matters_most_BC_AI_future_other_OE,Q15_Matters_most_BC_AI_future_other_OE_sentiment,Q15_Matters_most_BC_AI_future_other_OE_sentiment_percentage,Q16_Indigenous_communities_involvement_AI,Q16_Indigenous_communities_involvement_AI_video_OE_transcription,Q16_Indigenous_communities_involvement_AI_video_OE_sentiment,Q16_Indigenous_communities_involvement_AI_video_OE_sentiment_percentage,Q16_Indigenous_communities_involvement_AI_text_OE,Q16_Indigenous_communities_involvement_AI_text_OE_sentiment,Q16_Indigenous_communities_involvement_AI_text_OE_sentiment_percentage,Q17_Advice_BC_Leaders,Q17_Advice_BC_Leaders_video_OE_transcription,Q17_Advice_BC_Leaders_video_OE_sentiment,Q17_Advice_BC_Leaders_video_OE_sentiment_percentage,Q17_Advice_BC_Leaders_text_OE,Q17_Advice_BC_Leaders_text_OE_sentiment,Q17_Advice_BC_Leaders_text_OE_sentiment_percentage,Completion_redirect_ARF_return_token,Age,AgeRollup_Broad,Gender,Year of Birth,Education,HH_Income_Fine_23,FirstNation_23,,Ethnicity_Roll_23,Vizmin_23,HH_Comp_23,KidsinHH_23,,,HH_Under18_23,Urban/ Rural
736,b633a887-84ef-4c8e-a844-2ee090fac311,Link,ARF,45bb392d-34a0-42d6-8e00-e7a45493bb22,2025-06-27 19:10,2025-06-27 19:18,Completed,arfidB99211A5-64F6-40AC-988A-1EC7757F3C99,,Vancouver / Lower Mainland,,No experience – I haven’t really used AI and don’t know much about it.,Owl – Wise and curious,,,,Mostly concerned – I’m more worried about the downsides.,Healthcare and medicine,,,,Government and public services,,,,,,,,,,,,Not sure,,,,Abstract installation – weird but interesting,,,,"Mixed effects – Some help, some harm.","Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,I would hope it could steamline services like health care,POSITIVE,0.602998078,It’ll eliminate more jobs than it creates.,Making public services smarter,,,,,,,,,Not sure,,,,,,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,That it will eliminate jobs - that it will make people dumber - students will use AI to complete homework and will lose the skills for creative and original thinking,NEGATIVE,0.757779419,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",,Privacy and data protection,,Social and environmental good,Inclusivity and accessibility,,,,,,I'll type my answer 📲,,,,I'm not sure why indigenous communities would have any more involvement in shaping AI than other communities,NEGATIVE,0.617904246,I'll type my answer 📲,,,,To create equal access ,NEUTRAL,0.595252633,,78,55 Plus,Female,1947,Some college/trade school,"$60,000 to less than $75,000",No ,,Chinese,Visible minority,One in total [you live alone],18 years of age or more ,,,"No, no one under 18 here ",Urban
737,a4ce2f69-58fb-4a62-ae82-2d3fc6d0d1ab,Link,ARF,d1eadc98-748a-42d9-9433-2993e1118c74,2025-07-02 3:40,2025-07-02 3:56,Completed,arfidB9C5A2B2-4D80-428D-9DFA-06CB88F5C60F,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,Chameleon – Always adapting,,,,Mostly concerned – I’m more worried about the downsides.,Healthcare and medicine,,,Jobs and the economy,Government and public services,,,,,,Healthcare and medicine,,,Jobs and the economy,Government and public services,,,,,,Abstract installation – weird but interesting,,,,"Mixed effects – Some help, some harm.","Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,"I hope it can help decrease an accessibility barrier for langues, people with disabilities, and people with lower education",POSITIVE,0.987639844,It’ll mostly change jobs—not create or destroy them outright.,Solving tough local problems,,,,Large corporations,,,,,,,,,,,Academic and research institutions,Community and Indigenous leaders,Other,,,Developers and It security people who know about the dangers and can educate others,POSITIVE,0.814292073,I'll type my answer 📲,,,,Malicious people using it to pray upon those unaware of the dangers and it providing false information to promote harmful political propaganda. people don't have enough common sense or rely on heuristics and bais over critical thinking. AI can be a confirmation bias tool,NEGATIVE,0.739564121,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",Ethical and unbiased AI,Privacy and data protection,,,Inclusivity and accessibility,,,,,,I'll type my answer 📲,,,,"They should be gatenteed to have access to it! Not all communities have access to Internet, so AI and internet should be tools they are given to promote equity. Besides that, they should be informed and involved in how AI is being used to shape local and government communities. They should be involved at every point, not just AI",POSITIVE,0.619919896,I'll type my answer 📲,,,,Make the barrier to education about AI very easy so people have more of a chance if identifying it and being aware of what they need to look out for so there is a better chance for them to critically think about what is influencing them,POSITIVE,0.943919182,,32,18-34,Female,1993,Graduated from college/trade school,"$60,000 to less than $75,000",No ,,White,Not a visible minority,One in total [you live alone],Do not have children ,,,"No, no one under 18 here ",Urban
738,a5b80a72-f7b8-439b-9c37-e04742c34481,Link,ARF,14eca60e-d09b-4a45-b2ea-e87f6747099b,2025-06-30 17:19,2025-06-30 17:29,Completed,arfidB9F26CCC-76B4-435F-9145-6867D6047F77,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,Other,Fox - sly ,NEUTRAL,0.978470564,Mostly concerned – I’m more worried about the downsides.,,,,,,,Not sure,,,,,,,Jobs and the economy,,,,,,,Other,Play doe,NEUTRAL,0.844423771,Mostly harm creativity – AI might replace or devalue artists’ work.,"Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,"AI needs to be regulated so that positive impacts is a requirement of the technology. This survey, so far, posits AI without regulations",NEUTRAL,0.797336757,Not sure,Fighting climate change,,,,Large corporations,,,,,,,,,Government and public institutions,,,,,,,,,,I'll type my answer 📲,,,,There are no regulations in place about objectives and values for the technology. It's a complete free for all.  In the USA the One Ugly Bill is preventing states from regulating AI for 10 years.  It's insane ,MIXED,0.55388701,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",Ethical and unbiased AI,,,,,,,,,,I'll type my answer 📲,,,,Like everyone else ,NEUTRAL,0.581004918,I'll type my answer 📲,,,,"Establish clear enforceable regulations on values, goals and objectives for AI. ",POSITIVE,0.632031918,,66,55 Plus,Male,1959,"University graduate degree, such as a master's or PhD","$100,000 to less than $110,000",No ,,White,Not a visible minority,One in total [you live alone],18 years of age or more ,,,"No, no one under 18 here ",Urban
739,766d0541-bd90-49e3-967b-f68a6342ffa3,Link,ARF,80a6ceec-0296-4a62-be4b-25f3a92d348a,2025-06-28 23:13,2025-06-28 23:20,Completed,arfidBA264773-E8A9-48B9-9690-5EDD26CB1CC8,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,I have no idea!,,,,Mostly concerned – I’m more worried about the downsides.,,,"Arts, culture, and media",Jobs and the economy,,,,,,,,,"Arts, culture, and media",Jobs and the economy,,,,,,,Pop hit – catchy and accessible,,,,Mostly harm creativity – AI might replace or devalue artists’ work.,Not sure,I'll type my answer 📲,,,,i don't believe ai will help at all,NEGATIVE,0.922490895,It’ll eliminate more jobs than it creates.,I’d take AI’s powers away!,,,,Large corporations,Small businesses and startups,,,,,,,,Government and public institutions,,,,,,,,,,I'll type my answer 📲,,,,it'll make people lazy and reliant on ai to do simple tasks.,NEGATIVE,0.546111047,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",,,,Social and environmental good,,,,,,,I'll type my answer 📲,,,,i don't care really,NEGATIVE,0.868924916,I'll type my answer 📲,,,,remove image generation,NEGATIVE,0.47582379,,21,18-34,Female,2004,Some university,"Under $10,000",No ,,Chinese,Visible minority,Three people [you and two others],Do not have children ,,,"No, no one under 18 here ",Urban
740,b4d57878-0f06-406d-819f-40be52387497,Link,ARF,5a9ddbc8-0707-4fcc-9a0a-e32a477aec79,2025-07-02 12:18,2025-07-02 12:28,Completed,arfidBA999F8B-0136-4110-AAB1-EB1FB6DDC638,,Vancouver / Lower Mainland,,Regular user – I use AI often for work or personal stuff.,Owl – Wise and curious,,,,Mixed/neutral – I see both the good and the bad.,Healthcare and medicine,,,,Government and public services,,,,,,,Environment and climate,"Arts, culture, and media",Jobs and the economy,,,,,,,Sci-fi epic – bold and futuristic,,,,Mostly harm creativity – AI might replace or devalue artists’ work.,"Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,"If AI can be utilized correctly, and integrated with the economy appropriately, then there could truly be a revolution in productivity not seen since the advent of consumer computers. AI has the potential to achieve many aspirations we have hoped for. 4-Day work weeks, UBI, and higher investments into our social services could be attained if the productivity derived from AI is funneled back into society, instead of being hoarded by wealthy individuals.",NEUTRAL,0.646750808,It’ll eliminate more jobs than it creates.,Solving tough local problems,,,,Large corporations,Small businesses and startups,The general public,,,,,,,Government and public institutions,,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,"There remains the likely possibility that AI further exacerbates the wealth divide we see today. Those with the means to invest in AI, data centers, or the necessary infrastructure to facilitate AI development, would see unparalleled wealth gain. Meanwhile, the majority of jobs would be at risk of automation.",NEUTRAL,0.923467994,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",Ethical and unbiased AI,,Economic growth and innovation,,,,,,,,I'll type my answer 📲,,,,No thoughts on this matter.,NEGATIVE,0.696988225,I'll type my answer 📲,,,,"There needs to be delicate balance between regulation and adoption. AI has the protentional to do a lot of societal good, but at the same time, too much regulation could hamper its adoption as a paradigm changer. It's a difficult process to find and achieve that balance, but some form of regulation must be in place; ideally dictated by those whose interest lies with the people of BC.",MIXED,0.901038766,,28,18-34,Male,1997,"University graduate degree, such as a master's or PhD","$120,000 to less than $150,000",No ,,Chinese,Visible minority,Two people [you and one other],Do not have children ,,,"No, no one under 18 here ",Urban
741,227f5ef7-d8bb-44fe-97bf-374076902ae3,Link,ARF,2a8ae93a-3137-4701-b40d-59ce4a04f272,2025-06-28 0:50,2025-06-28 0:56,Completed,arfidBAB1CE29-CBFD-4EAF-84A2-1B70F229EE10,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,Snail – Slow but steady,,,,Mostly concerned – I’m more worried about the downsides.,,,,,,,Not sure,,,,Healthcare and medicine,,"Arts, culture, and media",,Government and public services,,,,,,Abstract installation – weird but interesting,,,,"Mixed effects – Some help, some harm.","Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,I might make some small tasks more simple.,NEUTRAL,0.362044781,It’ll eliminate more jobs than it creates.,I’d take AI’s powers away!,,,,Large corporations,,,,,,,,,,,Academic and research institutions,Community and Indigenous leaders,,,,,,,I'll type my answer 📲,,,,"It is not a substitute for critical thinking, but that is what people are using it for.",POSITIVE,0.417157471,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",,Privacy and data protection,,,,,,,,,I'll type my answer 📲,,,,They should have veto power on its implementation in any field.,NEGATIVE,0.43496865,I'll type my answer 📲,,,,"Develop a free AI model that is not tied in any way to surveillance, weapons companies, or corporations that harvest our data or ideas.",NEUTRAL,0.530873835,,38,35-54,Male,1987,"University graduate degree, such as a master's or PhD","$75,000 to less than $100,000",No ,,White,Not a visible minority,One in total [you live alone],Do not have children ,,,"No, no one under 18 here ",Urban
742,efd32dae-fe7c-4c7e-bdf0-2c0727ddeb25,Link,ARF,7771e25d-406e-404d-a032-35adc67a0cb4,2025-06-27 19:23,2025-06-27 20:08,Completed,arfidBAFA6D45-4037-4D4E-89D3-0127A472A2B5,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,Octopus – Multi-tasking and complex,,,,Mixed/neutral – I see both the good and the bad.,,,,,,,Not sure,,,,Healthcare and medicine,,"Arts, culture, and media",,Government and public services,,,,,,Not sure,,,,Mostly harm creativity – AI might replace or devalue artists’ work.,"Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,Help with allowing people to understand issues and avoid conflict.,POSITIVE,0.96519345,It’ll eliminate more jobs than it creates.,Supporting elders and caregivers,,,,Large corporations,,,,,,,,,,,,,,,None of the above,,,,I'll type my answer 📲,,,,Will be more difficult to detect fake and inaccurate information.,NEGATIVE,0.958266675,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",Ethical and unbiased AI,Privacy and data protection,,,Inclusivity and accessibility,,,,,,I'll type my answer 📲,,,,All communities should be involved. Not just indigenous. I'm unsure of the indigenous and Ai connection or how indigenous communities can appropriately support Ai.,POSITIVE,0.422969133,I'll type my answer 📲,,,,Enforce rules and regulations enforcing labeling when materials created by ai are used.,NEUTRAL,0.786251307,,39,35-54,Male,1986,"University undergraduate degree, such as a bachelor's degree","$100,000 to less than $110,000",No ,,Chinese,Visible minority,Three people [you and two others],Under 2 years of age ,,,Yes,Urban
743,95c26528-8f7b-4b7a-8fd3-cdd35f81786e,Link,ARF,074c9f14-642a-4c52-b4b3-ba91bdfe9ede,2025-06-27 21:57,2025-06-30 18:59,Completed,arfidBAFFE2A2-25E6-4481-B2E5-DDAB025860DF,,Vancouver / Lower Mainland,,No experience – I haven’t really used AI and don’t know much about it.,Other,A drunk monkey,NEUTRAL,0.727636635,Mostly concerned – I’m more worried about the downsides.,Healthcare and medicine,Environment and climate,,Jobs and the economy,,,,,,,,,"Arts, culture, and media",,,,,,,,Not sure,,,,Mostly harm creativity – AI might replace or devalue artists’ work.,"Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,Assist law enforcement,NEUTRAL,0.646487176,It’ll eliminate more jobs than it creates.,Supporting elders and caregivers,,,,Large corporations,,The general public,,,,,,,Government and public institutions,,,,,,,,,,I'll type my answer 📲,,,,"How far are we going to go destroying the actual "" human "" elements and interactions ? One step closer to "" Soilent Green "" .",NEUTRAL,0.562484562,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",,Privacy and data protection,,,,,,,,,I'll type my answer 📲,,,,"None , not in their culture at all . ",NEGATIVE,0.669651687,I'll type my answer 📲,,,,Regulate it strongly ! It's an open door to everything right now . ,POSITIVE,0.922166228,,76,55 Plus,Male,1949,Some college/trade school,Prefer not to say,No ,,White,Not a visible minority,Two people [you and one other],18 years of age or more ,,,"No, no one under 18 here ",Urban
744,66057894-9b29-4281-9c24-d592a92f0d35,Link,ARF,f9b73446-fffb-40f5-ac2d-782e3cc89e6b,2025-06-30 13:53,2025-06-30 14:03,Completed,arfidBB2DE870-91B0-4320-9259-3EB270AED1AB,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,Snail – Slow but steady,,,,Mixed/neutral – I see both the good and the bad.,Healthcare and medicine,,,,,,,,,,,Environment and climate,"Arts, culture, and media",Jobs and the economy,,,,,,,Not sure,,,,"Mixed effects – Some help, some harm.","Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,I hope AI will help with forest fires - prediction of movement and how to attack them. ,NEUTRAL,0.653112352,It’ll eliminate more jobs than it creates.,Fighting climate change,,,,Large corporations,Small businesses and startups,,,,,,,,,,Academic and research institutions,Community and Indigenous leaders,,,,,,,I'll type my answer 📲,,,,"As a teacher, I’ve seen how AI has changed the education system already. No longer can kids be trusted to write essays on their own as they use AI to write them. They must all be written in class for authentic writing. ",NEUTRAL,0.397541285,Balanced approach – Encourage innovation and set smart rules.,,Privacy and data protection,Economic growth and innovation,Social and environmental good,,,,,,,I'll type my answer 📲,,,,I really have no idea. ,NEUTRAL,0.786091864,I'll type my answer 📲,,,,My advice would be to not legislate and pigeon hole different aspects of how AI is used in our communities. ,NEGATIVE,0.573368192,,66,55 Plus,Female,1959,"University undergraduate degree, such as a bachelor's degree",Prefer not to say,No ,,White,Not a visible minority,Two people [you and one other],Do not have children ,,,"No, no one under 18 here ",Urban
745,e9adb697-298b-40c8-9409-d9d71f88fa44,Link,ARF,69424fc2-600c-42a7-a6af-fb664b66f6dc,2025-07-01 10:50,2025-07-01 10:55,Completed,arfidBB31A3CA-0F07-4469-ADF8-11E4033FB112,,Vancouver / Lower Mainland,,Regular user – I use AI often for work or personal stuff.,Chameleon – Always adapting,,,,Mostly optimistic – I think it’ll do more good than harm.,Healthcare and medicine,,,,Government and public services,,,,,,,,,Jobs and the economy,,,,,,,Sci-fi epic – bold and futuristic,,,,Mostly enhance creativity – AI tools will boost creative output.,Very helpful – AI can be a powerful tool for tackling climate issues.,I'll type my answer 📲,,,,I think it will advance human understanding ,POSITIVE,0.993798673,It’ll mostly change jobs—not create or destroy them outright.,Supporting elders and caregivers,,,,Large corporations,Small businesses and startups,The general public,,,,,,,Government and public institutions,Tech industry leaders,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,No worries ,POSITIVE,0.939752877,Hands-off promotion – Support innovation with minimal rules.,Ethical and unbiased AI,,,,,,,,,,I'll type my answer 📲,,,,They should not be involved ,NEGATIVE,0.948215783,I'll type my answer 📲,,,,"Be honest 
So hands off 
",NEGATIVE,0.658723712,,68,55 Plus,Male,1957,Some college/trade school,"$75,000 to less than $100,000",No ,,White,Not a visible minority,Two people [you and one other],18 years of age or more ,,,"No, no one under 18 here ",Urban
746,0139e268-0b38-4925-82ec-9c1278444cd2,Link,ARF,2cac23e4-b6fe-4f23-b234-c021bbc6549c,2025-06-30 14:15,2025-06-30 14:30,Completed,arfidBB57616D-119F-4351-9DD7-299C8EEEC439,,Vancouver / Lower Mainland,,Regular user – I use AI often for work or personal stuff.,Chameleon – Always adapting,,,,Mixed/neutral – I see both the good and the bad.,,,,,,,Not sure,,,,,,,Jobs and the economy,,,,,,,Sci-fi epic – bold and futuristic,,,,"Mixed effects – Some help, some harm.","Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,Provide Guidance or options on every day situations ,POSITIVE,0.530837893,It’ll eliminate more jobs than it creates.,Solving tough local problems,,,,Large corporations,,,,,,,,,,,,,,Not sure,,,,,I'll type my answer 📲,,,,Take away  lower paid jobs ,NEGATIVE,0.57530576,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",Ethical and unbiased AI,,,,,,,,,,I'll type my answer 📲,,,,Don’t let their history or language ,NEUTRAL,0.521320581,I'll type my answer 📲,,,,Don’t eliminate jobs ,NEUTRAL,0.518401206,,49,35-54,Female,1976,Some college/trade school,"$50,000 to less than $60,000",No ,,South Asian,Visible minority,Four people [you and three others],13-17 years of age,18 years of age or more ,,Yes,Urban
747,ca4d1705-2996-4458-8c3c-12c5ca2fd011,Link,ARF,3f467ab5-6980-437d-8abe-4f42a398345d,2025-06-26 22:06,2025-06-26 23:29,Completed,arfidBB96B75D-5656-4B16-9B0D-57F9EF2CCC88,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,Other,Hawk,NEUTRAL,0.999350369,Mostly concerned – I’m more worried about the downsides.,,,,,,,Not sure,,,,,Environment and climate,"Arts, culture, and media",,Government and public services,,,,,,Abstract installation – weird but interesting,,,,Mostly harm creativity – AI might replace or devalue artists’ work.,"Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,Finding solutions to homelessness maybe?,NEUTRAL,0.964790046,It’ll eliminate more jobs than it creates.,Solving tough local problems,,,,Large corporations,,,,,,,,,,,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,The energy use from AI is a huge problem. AI shouldn’t be a frivolous thing that everyone can access whenever they please. Cities are going to have black outs so that people can make shitty AI art. Not worth it.,NEGATIVE,0.99471879,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",Ethical and unbiased AI,,,Social and environmental good,,Other,,AI energy use,NEUTRAL,0.979340553,I'll type my answer 📲,,,,However they want I guess?,NEUTRAL,0.973801792,I'll type my answer 📲,,,,I’m not really sure there’s much they can do since the cat is out of the bag but UBI would be a good start ,MIXED,0.479397565,,38,35-54,Female,1987,Graduated from college/trade school,"$100,000 to less than $110,000",No ,,White,Not a visible minority,Three people [you and two others],Under 2 years of age ,,,Yes,Urban
748,8755544b-9b11-4775-8dcb-365f6f4d6432,Link,ARF,de9d2cce-3746-4f83-8858-aba58d5862c6,2025-06-30 13:53,2025-06-30 14:00,Completed,arfidBBF1700E-89DC-4F71-93B9-B6FBD6EC21DB,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,I have no idea!,,,,Mixed/neutral – I see both the good and the bad.,Healthcare and medicine,,,,,,,,,,,,"Arts, culture, and media",Jobs and the economy,,,,,,,Not sure,,,,"Mixed effects – Some help, some harm.",Not much impact – It won’t make a big difference.,I'll type my answer 📲,,,,Reduce government payroll,NEUTRAL,0.74786222,It’ll mostly change jobs—not create or destroy them outright.,Supporting elders and caregivers,,,,Large corporations,,,,,,,,,,,,,,,None of the above,,,,I'll type my answer 📲,,,,Not sure,NEUTRAL,0.592210114,Balanced approach – Encourage innovation and set smart rules.,,Privacy and data protection,,,,,,,,,I'll type my answer 📲,,,,That's up to them,NEUTRAL,0.98096633,I'll type my answer 📲,,,,Listen to the people.,NEUTRAL,0.86896354,,67,55 Plus,Male,1958,Some college/trade school,"$25,000 to less than $40,000",No ,,White,Not a visible minority,One in total [you live alone],Do not have children ,,,"No, no one under 18 here ",Urban
749,0ed1bddb-b5d7-41e6-acc2-a3410a9991e4,Link,ARF,22672bf8-2a83-4e09-820e-173e95755793,2025-06-30 19:35,2025-06-30 19:40,Completed,arfidBC012A9D-5616-45FB-81D8-E2A66C925EA6,,Victoria,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,Owl – Wise and curious,,,,Mostly concerned – I’m more worried about the downsides.,,,,,,,Not sure,,,,,Environment and climate,,Jobs and the economy,Government and public services,,,,,,Nature documentary – grounded and wise,,,,"Mixed effects – Some help, some harm.","Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,Create jobs,NEUTRAL,0.950731874,It’ll mostly change jobs—not create or destroy them outright.,I’d take AI’s powers away!,,,,Large corporations,,The general public,,,,,,,,Tech industry leaders,,,,,,,,,I'll type my answer 📲,,,,Reduce the workforce. ,POSITIVE,0.707430065,Balanced approach – Encourage innovation and set smart rules.,,Privacy and data protection,Economic growth and innovation,,,,,,,,I'll type my answer 📲,,,,Learn to use it,POSITIVE,0.648504853,I'll type my answer 📲,,,,Create jobs,NEUTRAL,0.950731874,,63,55 Plus,Male,1962,"University undergraduate degree, such as a bachelor's degree","Over $500,000",No ,,White,Not a visible minority,Two people [you and one other],Do not have children ,,,"No, no one under 18 here ",Urban
750,5579fd4f-4e6c-47f8-a98a-709829c7618e,Link,ARF,de804d98-af77-4921-94ca-a81e24938cfe,2025-06-27 23:30,2025-06-27 23:45,Completed,arfidBC2A09FE-33E8-4F51-939D-BAA9218354CC,,Victoria,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,Owl – Wise and curious,,,,Mixed/neutral – I see both the good and the bad.,Healthcare and medicine,Environment and climate,,,Government and public services,,,,,,,,"Arts, culture, and media",Jobs and the economy,,,,,,,Pop hit – catchy and accessible,,,,Mostly harm creativity – AI might replace or devalue artists’ work.,"Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,I’d love for AI to help with social problems. Find solutions for addictions and poverty. ,POSITIVE,0.961138606,It’ll eliminate more jobs than it creates.,Promoting Indigenous knowledge,,,,Large corporations,,,,,,,,,Government and public institutions,,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,That it will be used to feed greed for money and power. ,NEGATIVE,0.871642292,Balanced approach – Encourage innovation and set smart rules.,Ethical and unbiased AI,Privacy and data protection,,,Inclusivity and accessibility,,,,,,I'll type my answer 📲,,,,Indigenous communities should always be consulted on matters that affect them. ,POSITIVE,0.503596067,I'll type my answer 📲,,,,Strong regulations,POSITIVE,0.802170277,,47,35-54,Female,1978,Graduated from college/trade school,"$200,000 to less than $250,000",No ,,White,Not a visible minority,Two people [you and one other],18 years of age or more ,,,"No, no one under 18 here ",Urban
